Animal ID,Name,DateTime,MonthYear,Date of Birth,Outcome Type,Outcome Subtype,Animal Type,Sex upon Outcome,Age upon Outcome,Breed,Color
A738919,Milo,11/27/2016 5:35:00 PM,Nov 2016,09/23/2016,Adoption,,Dog,Neutered Male,2 months,Black Mouth Cur Mix,Brown/Black
A730464,,07/05/2016 12:47:00 PM,Jul 2016,07/05/2015,Euthanasia,Rabies Risk,Other,Unknown,1 year,Bat,Black/Brown
A851472,A851472,02/17/2022 12:46:00 PM,Feb 2022,09/13/2020,Transfer,Partner,Dog,Intact Male,1 year,Cairn Terrier Mix,Tan/White
A805930,*Rachel,11/08/2019 6:37:00 PM,Nov 2019,09/11/2019,Adoption,Foster,Dog,Spayed Female,1 month,Border Collie Mix,Chocolate/White
A672423,Valentine,02/14/2014 11:44:00 AM,Feb 2014,02/10/2002,Transfer,Partner,Dog,Spayed Female,12 years,Collie Rough Mix,Red
A665383,Indica,10/30/2013 4:23:00 PM,Oct 2013,06/19/2013,Adoption,,Dog,Spayed Female,4 months,German Shepherd Mix,Black/Tan
A806497,*Moo,12/17/2019 5:59:00 PM,Dec 2019,06/02/2019,Adoption,,Other,Spayed Female,6 months,Polish,White/White
A754899,Puppy,07/29/2017 5:57:00 PM,Jul 2017,07/26/2012,Adoption,,Dog,Spayed Female,5 years,German Shepherd Mix,Brown/Black
A746498,Zeus,05/03/2017 7:25:00 PM,May 2017,04/04/2016,Adoption,,Dog,Neutered Male,1 year,Rat Terrier/Cardigan Welsh Corgi,Black/White
A813785,Snout,02/26/2020 7:45:00 PM,Feb 2020,02/18/2019,Rto-Adopt,,Dog,Neutered Male,1 year,Doberman Pinsch,Black/Brown
A810161,Lizzie,12/19/2019 3:54:00 PM,Dec 2019,10/15/2019,Adoption,,Dog,Spayed Female,2 months,Australian Cattle Dog,Blue Tick/Black
A791163,,03/24/2019 8:22:00 AM,Mar 2019,02/22/2019,Died,In Kennel,Cat,Unknown,4 weeks,Domestic Shorthair Mix,Black/White
A777234,Tyson,01/02/2019 12:00:00 AM,Jan 2019,11/25/2017,Transfer,Partner,Dog,Neutered Male,1 year,Pit Bull Mix,Blue/White
A684009,Big Boy,07/19/2014 6:32:00 PM,Jul 2014,07/18/2012,Return to Owner,,Dog,Neutered Male,2 years,American Staffordshire Terrier Mix,Brown Brindle/White
A870443,Heidi,12/15/2022 3:43:00 PM,Dec 2022,10/31/2010,Adoption,,Dog,Spayed Female,12 years,Jack Russell Terrier/Chihuahua Shorthair,White/Black
A839936,A839936,08/02/2021 5:57:00 PM,Aug 2021,05/29/2021,Adoption,,Dog,Neutered Male,2 months,Labrador Retriever,Black/White
A757815,,09/07/2017 11:00:00 AM,Sep 2017,09/07/2015,Euthanasia,Rabies Risk,Other,Unknown,2 years,Raccoon,Gray/Black
A792258,Vesper,04/10/2019 8:53:00 PM,Apr 2019,09/08/2016,Adoption,,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Tortie
A802723,*Linguine,09/20/2019 6:27:00 PM,Sep 2019,07/09/2019,Adoption,Foster,Dog,Spayed Female,2 months,Miniature Poodle Mix,Tan
A705205,*Dell,06/20/2015 4:25:00 PM,Jun 2015,03/30/2015,Adoption,Offsite,Cat,Neutered Male,2 months,Domestic Shorthair Mix,White/Blue Tabby
A689228,Louie,12/05/2014 3:55:00 PM,Dec 2014,06/01/2014,Adoption,,Dog,Neutered Male,6 months,Dachshund/Chihuahua Shorthair,Sable/Tan
A851434,Taco Bell,02/13/2022 1:15:00 PM,Feb 2022,02/12/2010,Transfer,Partner,Dog,Neutered Male,12 years,Chihuahua Shorthair,Fawn/Tan
A855554,Petey,04/22/2022 4:03:00 PM,Apr 2022,08/19/2020,Return to Owner,,Dog,Neutered Male,1 year,Bloodhound Mix,Brown/Black
A688837,*Sterling,10/13/2014 6:14:00 PM,Oct 2014,09/24/2013,Adoption,,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,Tan/White
A634392,Junior,03/24/2018 3:56:00 PM,Mar 2018,08/11/2009,Return to Owner,,Dog,Neutered Male,8 years,Standard Schnauzer/Miniature Poodle,White
A736717,Max,10/21/2016 2:45:00 PM,Oct 2016,10/16/2013,Return to Owner,,Dog,Neutered Male,3 years,Pug Mix,Brown Brindle
A766886,Lola,02/26/2018 5:53:00 PM,Feb 2018,02/18/2017,Adoption,,Dog,Spayed Female,1 year,Labrador Retriever Mix,Brown/Brown
A817863,*Beef,06/04/2020 2:45:00 PM,Jun 2020,05/27/2018,Adoption,,Dog,Neutered Male,2 years,American Bulldog,Brown Brindle/White
A767796,*Koko,06/20/2019 2:18:00 PM,Jun 2019,12/06/2017,Transfer,Partner,Dog,Spayed Female,1 year,American Pit Bull Terrier Mix,Brown/White
A777606,Bobo,08/07/2018 5:25:00 PM,Aug 2018,07/31/2011,Adoption,,Dog,Neutered Male,7 years,Chihuahua Shorthair Mix,Tricolor
A805948,Blue,10/04/2019 11:25:00 AM,Oct 2019,10/04/2017,Return to Owner,,Dog,Intact Male,2 years,Siberian Husky,Black/Gray
A702919,,05/21/2015 1:32:00 PM,May 2015,04/04/2015,Transfer,Partner,Cat,Intact Male,1 month,Domestic Shorthair Mix,Blue
A696409,*Hans,02/09/2015 6:46:00 PM,Feb 2015,11/19/2014,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black
A688758,,09/23/2014 1:21:00 PM,Sep 2014,09/13/2014,Transfer,Partner,Cat,Intact Male,1 weeks,Domestic Shorthair Mix,Black/White
A795325,,05/21/2019 5:10:00 PM,May 2019,03/19/2019,Adoption,,Dog,Spayed Female,2 months,Labrador Retriever,Black
A778589,,09/26/2018 10:04:00 AM,Sep 2018,07/02/2018,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Cream Tabby
A734055,,09/01/2016 8:05:00 AM,Sep 2016,08/31/2015,Euthanasia,Rabies Risk,Other,Unknown,1 year,Bat Mix,Brown
A709257,,08/07/2015 8:35:00 AM,Aug 2015,08/06/2014,Euthanasia,Rabies Risk,Other,Unknown,1 year,Bat Mix,Black
A781976,*Fancy,10/16/2018 2:25:00 PM,Oct 2018,10/08/2017,Transfer,Partner,Dog,Intact Female,1 year,German Shepherd Mix,White
A751447,Bowser,06/16/2017 6:29:00 PM,Jun 2017,06/08/2014,Adoption,,Dog,Neutered Male,3 years,Beagle Mix,Brown/White
A643424,Patches,10/30/2015 5:23:00 PM,Oct 2015,12/09/2009,Return to Owner,,Cat,Neutered Male,5 years,Domestic Shorthair Mix,Black/White
A791702,Cooper,04/04/2019 4:13:00 PM,Apr 2019,01/20/2019,Adoption,,Dog,Neutered Male,2 months,Labrador Retriever Mix,Brown/White
A727851,,05/26/2016 6:09:00 PM,May 2016,05/26/2014,Euthanasia,Rabies Risk,Other,Unknown,2 years,Bat Mix,Brown/Black
A847063,Ella,11/29/2021 4:55:00 PM,Nov 2021,11/24/2019,Adoption,,Dog,Spayed Female,2 years,Chihuahua Shorthair,White/Black
A748126,,05/15/2017 3:40:00 PM,May 2017,04/29/2016,Transfer,Partner,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Brown Tabby
A859541,A859541,06/20/2022 8:39:00 PM,Jun 2022,06/08/2022,Died,In Kennel,Dog,Intact Female,1 weeks,German Shepherd Mix,Black/Brown
A664941,Tequila,10/12/2013 6:14:00 PM,Oct 2013,10/11/2009,Return to Owner,,Dog,Spayed Female,4 years,Pit Bull Mix,Red/White
A657197,Gecko,10/09/2013 1:15:00 PM,Oct 2013,05/12/2013,Adoption,,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Brown Tabby
A801948,Boie,07/09/2021 1:24:00 PM,Jul 2021,02/12/2019,Adoption,,Dog,Neutered Male,2 years,Australian Kelpie Mix,Brown Brindle/White
A809230,*Moo,11/24/2019 4:36:00 PM,Nov 2019,11/21/2015,Adoption,,Dog,Neutered Male,4 years,Siberian Husky,Gray/White
A783412,*Yams,12/16/2018 12:45:00 PM,Dec 2018,10/30/2008,Adoption,,Cat,Neutered Male,10 years,Domestic Shorthair Mix,Black
A686459,*Lovey,09/21/2014 5:39:00 PM,Sep 2014,07/15/2014,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Tortie
A742736,Astro,01/31/2017 5:02:00 PM,Jan 2017,05/01/2016,Adoption,,Dog,Neutered Male,9 months,Yorkshire Terrier/Miniature Poodle,Brown/Gray
A727627,Cesar,05/26/2016 5:13:00 PM,May 2016,05/23/2015,Return to Owner,,Dog,Neutered Male,1 year,Pit Bull Mix,Brown Brindle/White
A790321,Prince,03/10/2019 5:37:00 PM,Mar 2019,03/10/2010,Return to Owner,,Dog,Intact Male,9 years,Miniature Schnauzer Mix,Black
A679096,Copper,12/22/2015 11:50:00 AM,Dec 2015,05/16/2007,Adoption,Foster,Dog,Neutered Male,8 years,Miniature Pinscher Mix,Red
A799580,*Roger Rabbit,08/19/2019 7:09:00 PM,Aug 2019,05/10/2019,Adoption,,Cat,Neutered Male,3 months,Domestic Shorthair,Blue Tabby/White
A833513,*Lemmy,05/13/2021 1:15:00 PM,May 2021,05/01/2011,Transfer,Partner,Cat,Neutered Male,10 years,Domestic Shorthair,Brown Tabby
A716376,,12/17/2015 11:33:00 AM,Dec 2015,10/18/2015,Adoption,Foster,Dog,Spayed Female,1 month,Boxer Mix,Red/White
A671125,,01/20/2014 6:32:00 PM,Jan 2014,11/03/2013,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby/White
A755735,Baby,08/15/2017 11:46:00 AM,Aug 2017,08/08/2013,Return to Owner,,Dog,Spayed Female,4 years,Australian Cattle Dog,Blue Merle
A697910,Boris,06/23/2015 1:38:00 PM,Jun 2015,03/03/2013,Return to Owner,,Cat,Neutered Male,2 years,Domestic Medium Hair Mix,Orange Tabby/White
A687056,,08/31/2014 9:00:00 AM,Aug 2014,03/30/2014,Transfer,SCRP,Cat,Intact Male,5 months,Domestic Shorthair Mix,Orange Tabby
A685566,,08/10/2014 7:11:00 PM,Aug 2014,06/09/2014,Adoption,,Dog,Spayed Female,2 months,Catahoula/Pointer,Brown Merle/White
A666111,*Jerry,10/29/2013 6:47:00 PM,Oct 2013,07/29/2013,Adoption,,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Orange Tabby/White
A827385,Mittens,01/27/2021 8:51:00 AM,Jan 2021,12/20/2019,Adoption,Foster,Cat,Spayed Female,1 year,Domestic Shorthair,Blue Tabby/White
A807106,Wendell,07/23/2020 5:46:00 PM,Jul 2020,03/20/2019,Adoption,,Dog,Neutered Male,1 year,Standard Poodle,Silver
A785591,Luke,03/09/2019 11:49:00 AM,Mar 2019,09/11/2017,Adoption,,Dog,Neutered Male,1 year,Labrador Retriever Mix,Brown/White
A707921,Debo,07/21/2015 3:01:00 PM,Jul 2015,08/14/2011,Return to Owner,,Dog,Intact Male,3 years,Pit Bull Mix,Red/White
A718784,*Marigold,01/12/2016 11:52:00 AM,Jan 2016,10/07/2015,Adoption,,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Brown Tabby/White
A675548,,03/29/2014 8:42:00 AM,Mar 2014,03/01/2014,Euthanasia,Rabies Risk,Other,Unknown,4 weeks,Bat,Brown/Black
A676323,,05/23/2014 12:24:00 PM,May 2014,03/21/2014,Adoption,,Dog,Spayed Female,2 months,Australian Cattle Dog Mix,Tricolor
A847273,Brandi,12/03/2021 5:36:00 PM,Dec 2021,11/29/2017,Return to Owner,,Dog,Intact Female,4 years,Jack Russell Terrier Mix,Cream/Brown
A808862,Big Papi,11/18/2019 12:23:00 PM,Nov 2019,11/14/2018,Transfer,Partner,Dog,Intact Male,1 year,Miniature Poodle Mix,Apricot
A707253,Goowa,01/29/2016 4:57:00 PM,Jan 2016,07/10/2012,Transfer,Partner,Dog,Neutered Male,3 years,Pit Bull Mix,Apricot/Brown
A721165,*Nelson,02/26/2016 9:13:00 PM,Feb 2016,02/22/2015,Adoption,,Dog,Neutered Male,1 year,Pit Bull Mix,Brown/White
A851070,*Grady,02/15/2022 3:05:00 PM,Feb 2022,02/05/2015,Adoption,Foster,Dog,Neutered Male,7 years,Labrador Retriever Mix,Silver
A819227,Agou,06/30/2020 6:52:00 PM,Jun 2020,06/24/2018,Rto-Adopt,,Dog,Spayed Female,2 years,Great Pyrenees,White
A685823,Walker,08/15/2014 5:17:00 PM,Aug 2014,08/13/2011,Return to Owner,,Dog,Neutered Male,3 years,Pit Bull Mix,Black/White
A805622,Sadie,12/05/2019 12:02:00 PM,Dec 2019,03/29/2018,Adoption,,Dog,Spayed Female,1 year,German Shepherd Mix,Black/Tan
A651995,*Sugar,07/02/2018 3:34:00 PM,Jul 2018,10/18/2011,Adoption,Foster,Dog,Spayed Female,6 years,Staffordshire Mix,Brown/White
A769199,Sophia,04/03/2018 4:33:00 PM,Apr 2018,04/01/2016,Return to Owner,,Dog,Intact Female,2 years,Dachshund Mix,Black/Tan
A824550,,10/16/2020 2:11:00 PM,Oct 2020,09/16/2020,Transfer,Partner,Cat,Intact Male,4 weeks,Domestic Shorthair,Blue
A696539,Jasper,02/14/2015 4:36:00 PM,Feb 2015,11/06/2014,Adoption,,Dog,Neutered Male,3 months,Australian Cattle Dog Mix,Tan/White
A791899,,04/05/2019 7:36:00 PM,Apr 2019,04/02/2018,Transfer,Snr,Cat,Intact Female,1 year,Siamese Mix,Tortie Point
A725540,*Tiny,05/02/2016 1:32:00 PM,May 2016,04/08/2016,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby/White
A782089,,10/10/2018 9:00:00 PM,Oct 2018,10/10/2016,Euthanasia,Suffering,Cat,Intact Female,2 years,Domestic Shorthair Mix,Tan/Black
A830483,,03/10/2021 12:31:00 PM,Mar 2021,03/10/2020,Euthanasia,Suffering,Cat,Intact Male,1 year,Domestic Shorthair,Seal Point
A839198,A839198,08/06/2021 1:07:00 PM,Aug 2021,06/08/2021,Adoption,Foster,Dog,Spayed Female,1 month,German Shepherd,Black/Tan
A739966,*Skippyjohn,02/10/2017 7:34:00 AM,Feb 2017,11/09/2016,Adoption,Foster,Cat,Neutered Male,3 months,Siamese Mix,Seal Point
A808447,Elle,12/04/2019 2:45:00 PM,Dec 2019,05/08/2019,Adoption,,Dog,Intact Female,6 months,Labrador Retriever,Black
A729355,*Bridget,06/24/2016 2:31:00 PM,Jun 2016,02/11/2016,Transfer,Partner,Cat,Intact Female,4 months,Domestic Shorthair Mix,Torbie/Brown Tabby
A788817,*Latte,11/06/2021 11:55:00 AM,Nov 2021,04/09/2018,Transfer,Partner,Dog,Spayed Female,3 years,Staffordshire Mix,Fawn/White
A679609,,05/23/2014 4:24:00 PM,May 2014,04/17/2014,Transfer,Partner,Dog,Intact Female,1 month,Pit Bull Mix,Brown/White
A766831,Lucky,02/19/2018 12:30:00 PM,Feb 2018,02/17/2016,Return to Owner,,Dog,Intact Male,2 years,Great Pyrenees Mix,White/Black
A706892,Penny,02/24/2016 6:32:00 PM,Feb 2016,07/05/2012,Adoption,,Dog,Spayed Female,3 years,German Shepherd Mix,Tan/Black
A687681,,09/08/2014 6:53:00 PM,Sep 2014,09/03/2014,Transfer,Partner,Cat,Unknown,5 days,Domestic Shorthair Mix,Blue Tabby
A726716,*Montana,12/20/2016 9:59:00 AM,Dec 2016,05/13/2015,Adoption,Foster,Dog,Neutered Male,1 year,Pit Bull Mix,Brown Brindle/White
A692534,Lareine,11/28/2014 4:58:00 PM,Nov 2014,11/22/2013,Adoption,,Dog,Spayed Female,1 year,Queensland Heeler/Pointer,Blue Tick
A767252,Amy,03/04/2019 7:15:00 PM,Mar 2019,01/26/2010,Return to Owner,,Dog,Spayed Female,9 years,Chihuahua Shorthair Mix,Tricolor/White
A781920,Binz,10/08/2018 11:17:00 AM,Oct 2018,10/08/2016,Return to Owner,,Dog,Neutered Male,2 years,American Bulldog Mix,White/Gray
A764556,Cash,01/01/2018 4:43:00 PM,Jan 2018,05/22/2011,Return to Owner,,Dog,Intact Male,6 years,Labrador Retriever Mix,Black
A666702,*Farley,01/12/2015 2:17:00 PM,Jan 2015,03/06/2013,Adoption,,Dog,Neutered Male,1 year,Catahoula Mix,Brown Brindle/White
A862540,Zamazenta,08/04/2022 6:12:00 PM,Aug 2022,03/27/2022,Rto-Adopt,,Dog,Neutered Male,4 months,Pit Bull,Brown
A652101,Stella,01/06/2016 6:56:00 PM,Jan 2016,04/20/2011,Return to Owner,,Dog,Spayed Female,4 years,Pit Bull/Chow Chow,Tan/White
A727902,*Jake,06/06/2016 7:48:00 PM,Jun 2016,05/27/2010,Adoption,,Dog,Neutered Male,6 years,Pug Mix,Black/White
A805553,,10/01/2019 5:17:00 PM,Oct 2019,05/28/2019,Adoption,,Dog,Spayed Female,4 months,Beagle/Dachshund,Black/Tricolor
A810834,Amigo,01/14/2020 1:54:00 PM,Jan 2020,12/21/2017,Transfer,Partner,Dog,Neutered Male,2 years,Pit Bull/Australian Cattle Dog,Chocolate/Tan
A789482,Mclaren,02/26/2019 4:21:00 PM,Feb 2019,12/18/2018,Adoption,,Dog,Neutered Male,2 months,Boxer/Australian Cattle Dog,Brown Brindle/White
A661916,Bella,04/02/2014 5:42:00 PM,Apr 2014,08/27/2011,Euthanasia,Aggressive,Dog,Spayed Female,2 years,Pit Bull Mix,White/Brown
A801634,Simba,10/15/2019 6:21:00 PM,Oct 2019,04/06/2019,Adoption,,Cat,Neutered Male,6 months,Domestic Shorthair Mix,White/Brown Tabby
A783891,Elizabeth T,01/16/2019 11:28:00 AM,Jan 2019,11/08/2015,Adoption,Foster,Dog,Spayed Female,3 years,Border Terrier,Black/Tan
A771760,,05/12/2018 7:32:00 PM,May 2018,05/09/2017,Transfer,Snr,Cat,Intact Female,1 year,Domestic Shorthair Mix,Brown Tabby
A747746,*Hops,05/28/2017 5:44:00 PM,May 2017,04/24/2016,Adoption,,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Brown Tabby/White
A842461,*Ruby,10/27/2021 9:50:00 AM,Oct 2021,08/05/2021,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Tortie
A681272,Chucky,06/17/2014 1:29:00 PM,Jun 2014,06/14/2011,Transfer,Partner,Dog,Neutered Male,3 years,Chihuahua Shorthair Mix,Brown
A711258,Cash,11/03/2015 7:38:00 PM,Nov 2015,09/04/2012,Adoption,,Dog,Neutered Male,3 years,Boxer Mix,White/Brown Brindle
A697903,,03/04/2015 9:00:00 AM,Mar 2015,11/18/2014,Transfer,SCRP,Cat,Unknown,3 months,Siamese Mix,Lynx Point
A689065,,09/29/2014 1:08:00 PM,Sep 2014,08/09/2014,Transfer,Partner,Dog,Intact Female,1 month,Flat Coat Retriever/Pit Bull,Buff
A676139,*Iona,03/08/2017 7:51:00 AM,Mar 2017,04/09/2008,Adoption,Foster,Cat,Spayed Female,8 years,Domestic Shorthair Mix,Brown Tabby/White
A676256,Maxey,04/07/2014 6:49:00 PM,Apr 2014,04/07/1999,Return to Owner,,Cat,Spayed Female,15 years,Domestic Shorthair Mix,Torbie
A667657,Rye,12/01/2013 1:10:00 PM,Dec 2013,11/20/2006,Adoption,,Dog,Neutered Male,7 years,Mastiff Mix,Brown Brindle/White
A798215,,06/24/2019 6:06:00 PM,Jun 2019,06/23/2017,Euthanasia,Rabies Risk,Other,Unknown,2 years,Raccoon,Brown/Black
A878874,A878874,04/22/2023 10:44:00 AM,Apr 2023,04/18/2022,Died,In Kennel,Bird,Unknown,1 year,Parakeet,Green
A774385,,06/30/2018 4:45:00 PM,Jun 2018,04/07/2018,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby
A771075,,06/23/2018 8:16:00 PM,Jun 2018,04/15/2018,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby
A679944,,06/01/2014 5:40:00 PM,Jun 2014,05/28/2012,Transfer,Partner,Dog,Spayed Female,2 years,Cairn Terrier Mix,White/Buff
A698183,*Eleanor,03/12/2015 4:13:00 PM,Mar 2015,03/06/2013,Euthanasia,Suffering,Dog,Intact Female,2 years,Pit Bull Mix,Brown Brindle
